algorithm,algorithm_label,alpha_slug,machine_type,db_level,n,auroc_mean,auroc_std,auroc_ci95,auroc_min,auroc_max
centralized_pooled,Centralized pooled,pooled,fan,-6dB,10,0.6099175844939085,0.026242777977083766,0.016265442305387384,0.5647070255542355,0.6546021748222074
centralized_pooled,Centralized pooled,pooled,fan,0dB,10,0.8077208423237855,0.02907222256257754,0.018019150228452085,0.7580554903432521,0.8427857581724247
centralized_pooled,Centralized pooled,pooled,fan,6dB,10,0.9527656250320935,0.01132713611277384,0.007020631698689796,0.9348218856102107,0.9658182957029456
centralized_pooled,Centralized pooled,pooled,pump,-6dB,10,0.6525697328557889,0.030024693463829633,0.018609497809238113,0.5834870246525826,0.6879003553427335
centralized_pooled,Centralized pooled,pooled,pump,0dB,10,0.725177896669922,0.02972475190900154,0.018423592107513057,0.657057566727322,0.7703153578410785
centralized_pooled,Centralized pooled,pooled,pump,6dB,10,0.8314521481951926,0.017975297730192456,0.011141204959624344,0.7990844741285037,0.857091842122647
centralized_pooled,Centralized pooled,pooled,slider,-6dB,10,0.844122400618941,0.015125911858808025,0.009375137299513777,0.8189132426588618,0.8614940325476107
centralized_pooled,Centralized pooled,pooled,slider,0dB,10,0.9093407235468738,0.007194425438595719,0.004459151085074793,0.8971743730113577,0.9199035519987516
centralized_pooled,Centralized pooled,pooled,slider,6dB,10,0.9549229539897868,0.004806562131394208,0.002979138073862566,0.9475500324868606,0.9643326314760161
centralized_pooled,Centralized pooled,pooled,valve,-6dB,10,0.5309862976797945,0.014791124396696614,0.00916763388069526,0.513428999065858,0.5602625232050239
centralized_pooled,Centralized pooled,pooled,valve,0dB,10,0.6231956610393554,0.013359581240125736,0.00828035423975142,0.6023300914148356,0.6492297379637425
centralized_pooled,Centralized pooled,pooled,valve,6dB,10,0.6994631605553048,0.017574401744522256,0.010892727053395276,0.6752571243949088,0.7261790492586389
local_only,Local only,a0p05,fan,-6dB,10,0.6434943812498309,0.05705213869017882,0.035361281914376985,0.5649895340766317,0.7399129023995226
local_only,Local only,a0p05,fan,0dB,10,0.7857038392914805,0.05377399499033792,0.03332946739896658,0.6866986722132211,0.8380769883605248
local_only,Local only,a0p05,fan,6dB,10,0.8942510134622927,0.05822429769696348,0.03608779359367576,0.7538812405554985,0.9578134805126839
local_only,Local only,a0p05,pump,-6dB,10,0.7035833310959931,0.029250038998553777,0.01812936199729937,0.6593154114504618,0.7528242685891676
local_only,Local only,a0p05,pump,0dB,10,0.7822312627751081,0.04154496240045679,0.025749834472333956,0.7216687953415173,0.8483523589208982
local_only,Local only,a0p05,pump,6dB,10,0.8518920711079462,0.034836744423379536,0.0215920378940375,0.7955026657574109,0.9069133638878366
local_only,Local only,a0p05,slider,-6dB,10,0.7516461760995792,0.059339267371565765,0.036778858957652726,0.6502551341150102,0.8364862274160277
local_only,Local only,a0p05,slider,0dB,10,0.8528618658342928,0.03891730598279573,0.0241211961514531,0.7897386338726643,0.9076241512279459
local_only,Local only,a0p05,slider,6dB,10,0.8764001300592341,0.025748478833410044,0.015959072522049346,0.8476888709227484,0.9276503977146711
local_only,Local only,a0p05,valve,-6dB,10,0.4888901777077692,0.04982394609345671,0.030881201727863263,0.40159668686159,0.5481866880109239
local_only,Local only,a0p05,valve,0dB,10,0.5669207708588295,0.03957133162128854,0.024526565441946604,0.5099705193557228,0.6351493776250474
local_only,Local only,a0p05,valve,6dB,10,0.5918961108251551,0.06288605011523543,0.03897717767746507,0.47781837054255927,0.6902996420290516
local_only,Local only,a100,fan,-6dB,10,0.5730153644608422,0.014283613867498992,0.008853075595774012,0.5465951463622792,0.5929825250419104
local_only,Local only,a100,fan,0dB,10,0.7399669363609009,0.010173385631870488,0.006305529741940635,0.7284074019304508,0.757298267400465
local_only,Local only,a100,fan,6dB,10,0.9088707437323786,0.007395576429837007,0.004583825761115712,0.8971249708704443,0.9196058430563866
local_only,Local only,a100,pump,-6dB,10,0.6555530362063429,0.019170669116756564,0.011882103820966234,0.6235494164517046,0.6844689060452989
local_only,Local only,a100,pump,0dB,10,0.7321289736027113,0.013645665187762874,0.008457670907554378,0.7002648001673539,0.7569520769532991
local_only,Local only,a100,pump,6dB,10,0.8506611832109762,0.014989435975178999,0.009290548670475223,0.8166857167790595,0.8667639770709105
local_only,Local only,a100,slider,-6dB,10,0.787435911774298,0.01759316686735402,0.01090435779702463,0.7451118900449634,0.8050247181291187
local_only,Local only,a100,slider,0dB,10,0.8571005750990026,0.010527679076479748,0.006525123093966899,0.8407399053537077,0.8750385517436658
local_only,Local only,a100,slider,6dB,10,0.8913099691625572,0.00725134473611161,0.004494430031176322,0.8815586917928933,0.9032318099567167
local_only,Local only,a100,valve,-6dB,10,0.4703616586104941,0.01130310793257105,0.007005738878305719,0.4454192451766774,0.48783605444470074
local_only,Local only,a100,valve,0dB,10,0.5224176534809835,0.015570146094789438,0.009650476531577672,0.49748307376505735,0.5469200987844185
local_only,Local only,a100,valve,6dB,10,0.5649167244032891,0.01275168164183373,0.007903574165167808,0.5399803710224728,0.5836680876839069
