host,worker,gpu,config_file,name,algorithm,algorithm_label,alpha,alpha_slug,machine_type,db_level,seed,auroc,equivalent_epochs,log_file,log_line
master,norm_g5,5,p1_anchor_centralized_pooled_fan_-6dB_s0.json,p1_anchor_centralized_pooled_fan_-6dB_s0,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,0,0.6073496657534558,60,master/logs/p1_norm_g5.log,237
n3,norm_g0,0,p1_anchor_centralized_pooled_fan_-6dB_s1.json,p1_anchor_centralized_pooled_fan_-6dB_s1,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,1,0.639152352711712,60,n3/logs/p1_norm_g0.log,194
master,norm_g1,1,p1_anchor_centralized_pooled_fan_-6dB_s2.json,p1_anchor_centralized_pooled_fan_-6dB_s2,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,2,0.6080864706885115,60,master/logs/p1_norm_g1.log,237
n3,norm_g1,1,p1_anchor_centralized_pooled_fan_-6dB_s3.json,p1_anchor_centralized_pooled_fan_-6dB_s3,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,3,0.5647070255542355,60,n3/logs/p1_norm_g1.log,196
master,norm_g0,0,p1_anchor_centralized_pooled_fan_-6dB_s4.json,p1_anchor_centralized_pooled_fan_-6dB_s4,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,4,0.6546021748222074,60,master/logs/p1_norm_g0.log,237
n3,norm_g4,4,p1_anchor_centralized_pooled_fan_-6dB_s5.json,p1_anchor_centralized_pooled_fan_-6dB_s5,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,5,0.5905152247254318,60,n3/logs/p1_norm_g4.log,196
master,norm_g3,3,p1_anchor_centralized_pooled_fan_-6dB_s6.json,p1_anchor_centralized_pooled_fan_-6dB_s6,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,6,0.6031719091051457,60,master/logs/p1_norm_g3.log,237
n3,norm_g6,6,p1_anchor_centralized_pooled_fan_-6dB_s7.json,p1_anchor_centralized_pooled_fan_-6dB_s7,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,7,0.5974250860892852,60,n3/logs/p1_norm_g6.log,196
master,norm_g7,7,p1_anchor_centralized_pooled_fan_-6dB_s8.json,p1_anchor_centralized_pooled_fan_-6dB_s8,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,8,0.5995883856934145,60,master/logs/p1_norm_g7.log,194
n3,norm_g3,3,p1_anchor_centralized_pooled_fan_-6dB_s9.json,p1_anchor_centralized_pooled_fan_-6dB_s9,centralized_pooled,Centralized pooled,,pooled,fan,-6dB,9,0.6345775497956863,60,n3/logs/p1_norm_g3.log,196
master,norm_g4,4,p1_anchor_centralized_pooled_fan_0dB_s0.json,p1_anchor_centralized_pooled_fan_0dB_s0,centralized_pooled,Centralized pooled,,pooled,fan,0dB,0,0.8242935050800915,60,master/logs/p1_norm_g4.log,237
n3,norm_g7,7,p1_anchor_centralized_pooled_fan_0dB_s1.json,p1_anchor_centralized_pooled_fan_0dB_s1,centralized_pooled,Centralized pooled,,pooled,fan,0dB,1,0.8412010835457322,60,n3/logs/p1_norm_g7.log,196
master,norm_g6,6,p1_anchor_centralized_pooled_fan_0dB_s2.json,p1_anchor_centralized_pooled_fan_0dB_s2,centralized_pooled,Centralized pooled,,pooled,fan,0dB,2,0.8022775146056207,60,master/logs/p1_norm_g6.log,239
n3,norm_g2,2,p1_anchor_centralized_pooled_fan_0dB_s3.json,p1_anchor_centralized_pooled_fan_0dB_s3,centralized_pooled,Centralized pooled,,pooled,fan,0dB,3,0.8009873904787159,60,n3/logs/p1_norm_g2.log,196
