alpha_slug,comparator,comparator_label,machine_type,db_level,n_pairs,delta_mean,delta_std,delta_ci95,delta_min,delta_max
a0p05,clustered_fl,Clustered FL,fan,-6dB,10,0.012943814278107257,0.0566278399797168,0.035098298849043856,-0.08919172778096696,0.09626947185683932
a0p05,clustered_fl,Clustered FL,fan,0dB,10,0.002386625742650894,0.04841462094087103,0.030007692948459987,-0.09976001243012733,0.06584668113079672
a0p05,clustered_fl,Clustered FL,fan,6dB,10,-0.032811791847958724,0.04551186051681604,0.02820854339786523,-0.12421965994058848,0.05523683596535789
a0p05,clustered_fl,Clustered FL,pump,-6dB,10,0.02308670512340093,0.03922100616783113,0.02430943147631628,-0.056732706967509317,0.07764375613022034
a0p05,clustered_fl,Clustered FL,pump,0dB,10,0.040116845582235036,0.03612263281853374,0.02238903977854882,0.00018893800289776497,0.10306339420621335
a0p05,clustered_fl,Clustered FL,pump,6dB,10,0.05098021081079127,0.03988116093860225,0.02471859964235345,0.0022927147895193123,0.12543767923788107
a0p05,clustered_fl,Clustered FL,slider,-6dB,10,-0.03524422184405289,0.036240136096586766,0.02246186906482081,-0.09980582445996966,0.004205278319250549
a0p05,clustered_fl,Clustered FL,slider,0dB,10,-0.010126383513000669,0.023764695448826464,0.014729510841631698,-0.054668854752782936,0.03780700059548581
a0p05,clustered_fl,Clustered FL,slider,6dB,10,-0.01633823624311731,0.04180918111123343,0.0259135989259255,-0.09470875894949315,0.06995912926285319
a0p05,clustered_fl,Clustered FL,valve,-6dB,10,-0.0062071860955783265,0.053078004288805644,0.03289808789292706,-0.09832773590951849,0.05854517100732087
a0p05,clustered_fl,Clustered FL,valve,0dB,10,0.015618926985134996,0.07407446740280212,0.04591183055752338,-0.11925760332454838,0.1885017433693571
a0p05,clustered_fl,Clustered FL,valve,6dB,10,-0.00857888732596616,0.07616943924219806,0.047210307556218495,-0.13617883648301565,0.1574675941568333
a0p05,fedavg,FedAvg,fan,-6dB,10,0.004257438447349304,0.07298839752151678,0.0452386774710212,-0.1024539791392558,0.12989612512520354
a0p05,fedavg,FedAvg,fan,0dB,10,0.00016408185285937682,0.05270566377064036,0.03266730884882341,-0.12737095000926568,0.05909874866757037
a0p05,fedavg,FedAvg,fan,6dB,10,-0.02594646446289641,0.06702666030916204,0.041543554464146114,-0.1476079330181873,0.10492618403244025
a0p05,fedavg,FedAvg,pump,-6dB,10,0.043571848045769544,0.038496162864543056,0.02386016894243462,-0.023896734400623232,0.09346870363844773
a0p05,fedavg,FedAvg,pump,0dB,10,0.07479951837934895,0.03911615125661827,0.024244441729031962,0.0007417991397886681,0.12279295728260231
a0p05,fedavg,FedAvg,pump,6dB,10,0.06445607441747565,0.03329001930960133,0.020633367736387947,0.00077874125677313,0.11503170178376021
a0p05,fedavg,FedAvg,slider,-6dB,10,-0.013941324968160241,0.05270144880341829,0.032664696385073216,-0.08548200330774902,0.10016773485708252
a0p05,fedavg,FedAvg,slider,0dB,10,0.00803936527506266,0.04463040483226238,0.027662211504405503,-0.048176674650156626,0.11528965065004426
a0p05,fedavg,FedAvg,slider,6dB,10,0.018041205766451584,0.050891614821745146,0.03154294966157693,-0.031922043494703956,0.11664549311401984
a0p05,fedavg,FedAvg,valve,-6dB,10,-0.013768585780176423,0.05320527087303804,0.03297696853906305,-0.10261154071773326,0.0444222000201826
a0p05,fedavg,FedAvg,valve,0dB,10,0.004917645073553878,0.070100890164985,0.04344898186962327,-0.11166890665088869,0.17021276918941863
a0p05,fedavg,FedAvg,valve,6dB,10,-0.03977319177960516,0.04379924218805449,0.027147051560303465,-0.10973908428879997,0.03229148924895586
a0p05,fedprox,FedProx,fan,-6dB,10,0.02401962931112366,0.05931971831602053,0.036766742327493614,-0.0611217595751018,0.11275211771683258
a0p05,fedprox,FedProx,fan,0dB,10,-0.00619735985577623,0.054365297379860816,0.033695960416977894,-0.13908543361116832,0.043864139114798695
a0p05,fedprox,FedProx,fan,6dB,10,-0.04860506750665335,0.057312588954826896,0.035522710660859366,-0.1912840092413347,0.011400539500625473
a0p05,fedprox,FedProx,pump,-6dB,10,0.03961398913627214,0.03458043175785655,0.021433173658061997,-0.01902159729019104,0.09001464053915398
a0p05,fedprox,FedProx,pump,0dB,10,0.05281058416838894,0.030455593849940336,0.01887657263553025,0.0015856535744775968,0.09249018441436008
a0p05,fedprox,FedProx,pump,6dB,10,0.03903579839356365,0.03185262035137065,0.01974245863197296,-0.00477418329811119,0.08972575095825697
a0p05,fedprox,FedProx,slider,-6dB,10,-0.01296316882346692,0.041954342113735485,0.026003570647412117,-0.077169349794176,0.061435681583599355
a0p05,fedprox,FedProx,slider,0dB,10,0.005334133427556509,0.035004096319239196,0.021695763673723608,-0.0546231802427235,0.06675092214024791
a0p05,fedprox,FedProx,slider,6dB,10,0.015539236430695746,0.0350563574892768,0.021728155482502433,-0.02068196301946934,0.08871753488276823
a0p05,fedprox,FedProx,valve,-6dB,10,0.02338026192988829,0.06659894687420995,0.041278454930646746,-0.09404079257384701,0.1052142152013682
a0p05,fedprox,FedProx,valve,0dB,10,0.05887707169425845,0.04103693303133102,0.025434954607093566,-0.013039181836142943,0.15459022880643053
a0p05,fedprox,FedProx,valve,6dB,10,0.020541066539700566,0.03315575100147403,0.020550147376821072,-0.032389661413227855,0.06753807414612778
a0p05,personalized,Personalized FL,fan,-6dB,10,-0.009008701487187598,0.06362370080712884,0.0394343783130456,-0.1086060598662475,0.10089081159064206
a0p05,personalized,Personalized FL,fan,0dB,10,-0.018455481023329556,0.04816071726647761,0.029850321820655664,-0.13105685284515578,0.0320539099843935
a0p05,personalized,Personalized FL,fan,6dB,10,-0.03335195431780437,0.07765031241296524,0.04812816225672861,-0.20658467444285034,0.09873190049723313
a0p05,personalized,Personalized FL,pump,-6dB,10,0.027289609319715646,0.035822166005235974,0.02220280851825137,-0.03906194572236221,0.06765768847751663
a0p05,personalized,Personalized FL,pump,0dB,10,0.05433795835280172,0.035432101878274655,0.02196104426760569,-0.006432083680568468,0.10113661178155742
a0p05,personalized,Personalized FL,pump,6dB,10,0.03718759467548699,0.024522329965709622,0.015199097580264866,-0.004326742130432493,0.08351565864116706
a0p05,personalized,Personalized FL,slider,-6dB,10,-0.02032555897432268,0.04334329032487857,0.026864449667660925,-0.08143114843431709,0.0626843695302487
a0p05,personalized,Personalized FL,slider,0dB,10,0.0018531381480518029,0.03999054246197191,0.024786395012919713,-0.05231939090520932,0.09551363055805318
a0p05,personalized,Personalized FL,slider,6dB,10,0.006477883483851876,0.04117590561733224,0.025521090708294714,-0.031168749964535447,0.07708505567880675
a0p05,personalized,Personalized FL,valve,-6dB,10,-0.019165560982133067,0.050663671281728405,0.031401668791759506,-0.10573427720633732,0.05201875222918784
a0p05,personalized,Personalized FL,valve,0dB,10,-0.004966459726128703,0.07184681953949087,0.044531120107240675,-0.12040056608084504,0.16393188966960603
a0p05,personalized,Personalized FL,valve,6dB,10,-0.05715655054590592,0.05504882506178964,0.03411961526343726,-0.1721017485107511,0.033469503732335704
a100,clustered_fl,Clustered FL,fan,-6dB,10,-0.05003094848376657,0.016709110461007926,0.010356413959497702,-0.07992505001222017,-0.02959829640905054
a100,clustered_fl,Clustered FL,fan,0dB,10,-0.07090613510151314,0.02069932179054364,0.012829572564259048,-0.10282574417617119,-0.04915551163053855
a100,clustered_fl,Clustered FL,fan,6dB,10,-0.043469124958141425,0.006504621224763593,0.00403160600383769,-0.05276006351790574,-0.03528575293763925
a100,clustered_fl,Clustered FL,pump,-6dB,10,-0.014286215216063903,0.021783139152211896,0.013501329524638254,-0.043690583164856855,0.023538611398839837
a100,clustered_fl,Clustered FL,pump,0dB,10,-0.0036543364695885592,0.015030663495868062,0.009316101752536417,-0.02737308221813428,0.02340508531713792
a100,clustered_fl,Clustered FL,pump,6dB,10,0.01299724562906308,0.01205702582918523,0.007473022031830293,-0.013343378044776255,0.03128509306934446
a100,clustered_fl,Clustered FL,slider,-6dB,10,-0.04804495500588568,0.014328307965314145,0.008880777284598209,-0.07596780364234401,-0.029386812575813215
a100,clustered_fl,Clustered FL,slider,0dB,10,-0.03614838608234415,0.016532246371493666,0.010246792461102936,-0.059124161820395926,0.00525610558392664
