anchor,comparator,comparator_label,alpha_slug,machine_type,db_level,seed,anchor_auroc,comparator_auroc,delta_anchor_minus_comparator
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,0,0.5649895340766317,0.5699601242982656,-0.00497059022163393
local_only,fedavg,FedAvg,a0p05,fan,-6dB,0,0.5649895340766317,0.5677419104789951,-0.0027523764023634767
local_only,fedprox,FedProx,a0p05,fan,-6dB,0,0.5649895340766317,0.5494930350350338,0.015496499041597889
local_only,personalized,Personalized FL,a0p05,fan,-6dB,0,0.5649895340766317,0.5841834720264676,-0.019193937949835926
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,1,0.6129488763579238,0.7021406041388908,-0.08919172778096696
local_only,fedavg,FedAvg,a0p05,fan,-6dB,1,0.6129488763579238,0.7154028554971796,-0.1024539791392558
local_only,fedprox,FedProx,a0p05,fan,-6dB,1,0.6129488763579238,0.6639517974136865,-0.05100292105576265
local_only,personalized,Personalized FL,a0p05,fan,-6dB,1,0.6129488763579238,0.7215549362241713,-0.1086060598662475
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,2,0.6190252825602441,0.6226707966489963,-0.003645514088752133
local_only,fedavg,FedAvg,a0p05,fan,-6dB,2,0.6190252825602441,0.6137153101764976,0.005309972383746531
local_only,fedprox,FedProx,a0p05,fan,-6dB,2,0.6190252825602441,0.5937476795196975,0.025277603040546603
local_only,personalized,Personalized FL,a0p05,fan,-6dB,2,0.6190252825602441,0.619303006177124,-0.0002777236168798325
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,3,0.6926271027933237,0.6501043766638288,0.042522726129494925
local_only,fedavg,FedAvg,a0p05,fan,-6dB,3,0.6926271027933237,0.6853142938674117,0.007312808925912018
local_only,fedprox,FedProx,a0p05,fan,-6dB,3,0.6926271027933237,0.6308787644046832,0.06174833838864058
local_only,personalized,Personalized FL,a0p05,fan,-6dB,3,0.6926271027933237,0.6743598798777377,0.018267222915586023
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,4,0.6301383899176148,0.6044339056259345,0.025704484291680374
local_only,fedavg,FedAvg,a0p05,fan,-6dB,4,0.6301383899176148,0.625998360089939,0.004140029827675806
local_only,fedprox,FedProx,a0p05,fan,-6dB,4,0.6301383899176148,0.6030257073459371,0.02711268257167776
local_only,personalized,Personalized FL,a0p05,fan,-6dB,4,0.6301383899176148,0.6251943402253619,0.0049440496922529276
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,5,0.7011758751961257,0.7379378739883458,-0.036761998792220085
local_only,fedavg,FedAvg,a0p05,fan,-6dB,5,0.7011758751961257,0.7827108389087262,-0.0815349637126005
local_only,fedprox,FedProx,a0p05,fan,-6dB,5,0.7011758751961257,0.7416795191030592,-0.040503643906933506
local_only,personalized,Personalized FL,a0p05,fan,-6dB,5,0.7011758751961257,0.780673619613966,-0.0794977444178403
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,6,0.7399129023995226,0.6645758778135615,0.07533702458596103
local_only,fedavg,FedAvg,a0p05,fan,-6dB,6,0.7399129023995226,0.6544419819546808,0.08547092044484172
local_only,fedprox,FedProx,a0p05,fan,-6dB,6,0.7399129023995226,0.6630543431710196,0.07685855922850293
local_only,personalized,Personalized FL,a0p05,fan,-6dB,6,0.7399129023995226,0.7004917249634028,0.039421177436119725
local_only,clustered_fl,Clustered FL,a0p05,fan,-6dB,7,0.6410239502150273,0.5871836767843885,0.053840273430638796
