machine_type,db_level,fedprox_mu,n,auroc_mean,auroc_ci95,auroc_std,auroc_min,auroc_max
slider,-6dB,0.0,20,0.8731716888931201,0.03974144361533237,0.0849150006285827,0.6929722780789523,0.9567404159773261
slider,-6dB,0.001,20,0.8848441176915116,0.03650938044433199,0.07800909532595719,0.6946470192793094,0.9678643034558271
slider,-6dB,0.01,20,0.8756971532127645,0.03753987303804812,0.08021093479837627,0.6845014393086786,0.9633451303627342
slider,-6dB,0.1,20,0.8459678745661708,0.03502655455331875,0.0748407614655614,0.6952043300969338,0.9449858096686878
slider,-6dB,1.0,20,0.7594281005294137,0.022135551948440368,0.04729673199115163,0.6579454026689009,0.863741934662044
slider,6dB,0.0,20,0.9445562617399134,0.029586814535386627,0.06321774314964335,0.7860201738352032,0.9999235735765458
slider,6dB,0.001,20,0.9608789342346274,0.02253778829741741,0.04815618491281265,0.8390650358510604,0.9995633181881954
slider,6dB,0.01,20,0.954306746008284,0.025644006526347417,0.05479319904383293,0.817548146451177,0.9997981259878962
slider,6dB,0.1,20,0.9268347542961365,0.0271234557379936,0.05795431799947209,0.7875015004545453,0.9903479226322212
slider,6dB,1.0,20,0.8515061387622122,0.02186601146100614,0.046720808507308274,0.7422951194278123,0.9036963706050102
valve,-6dB,0.0,20,0.48167225914009415,0.028839490283046835,0.061620945610746054,0.33899241710348627,0.6022446710629501
valve,-6dB,0.001,20,0.47179617287158193,0.02687026792120985,0.05741333504401028,0.330836854580776,0.5599358410315841
valve,-6dB,0.01,20,0.42492975813511963,0.025151085806111806,0.053739982062744204,0.303275817841023,0.501148957261952
valve,-6dB,0.1,20,0.4279665491950818,0.02224322620967342,0.047526798116800856,0.330649614311574,0.5391430697654184
valve,-6dB,1.0,20,0.4474962884441516,0.022662778345462934,0.04842324944401297,0.36442073276664994,0.5885860198966085
valve,6dB,0.0,20,0.6299071534641878,0.04349349983856764,0.09293196799490107,0.42025839559968736,0.7490571438225021
valve,6dB,0.001,20,0.6492571319233534,0.023306908731264824,0.04979955405550812,0.5583516382624267,0.7246969481160572
valve,6dB,0.01,20,0.5756075379638791,0.021151850609149633,0.045194870753982486,0.45836995337767056,0.6418811927591984
valve,6dB,0.1,20,0.4715485126994364,0.021480496291912267,0.045897083502681,0.38157401883701697,0.5470056876172137
valve,6dB,1.0,20,0.428268359196819,0.019791049911516274,0.0422872664602539,0.3342926560542917,0.5108804501397094
