experiment,config_file,name,algorithm,algorithm_label,alpha,machine_type,db_level,seed,fedprox_mu,model_family,bottleneck,auroc,host,worker,gpu,log_file,log_line
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s0.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s0,fedprox,FedProx,0.05,slider,-6dB,0,0.001,ConvAutoencoder,1024,0.8158857136483254,n3,norm_g1,1,n3/logs/p1_norm_g1.log,241
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s1.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s1,fedprox,FedProx,0.05,slider,-6dB,1,0.001,ConvAutoencoder,1024,0.7566820430562691,n3,norm_g5,5,n3/logs/p1_norm_g5.log,243
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s2.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s2,fedprox,FedProx,0.05,slider,-6dB,2,0.001,ConvAutoencoder,1024,0.8139432018372371,n3,norm_g2,2,n3/logs/p1_norm_g2.log,241
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s3.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s3,fedprox,FedProx,0.05,slider,-6dB,3,0.001,ConvAutoencoder,1024,0.7849651488166415,n3,norm_g4,4,n3/logs/p1_norm_g4.log,243
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s4.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s4,fedprox,FedProx,0.05,slider,-6dB,4,0.001,ConvAutoencoder,1024,0.8715283015784688,n3,norm_g6,6,n3/logs/p1_norm_g6.log,243
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s5.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s5,fedprox,FedProx,0.05,slider,-6dB,5,0.001,ConvAutoencoder,1024,0.6946470192793094,n3,norm_g7,7,n3/logs/p1_norm_g7.log,241
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s6.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s6,fedprox,FedProx,0.05,slider,-6dB,6,0.001,ConvAutoencoder,1024,0.9678643034558271,n3,norm_g3,3,n3/logs/p1_norm_g3.log,243
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s7.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s7,fedprox,FedProx,0.05,slider,-6dB,7,0.001,ConvAutoencoder,1024,0.8383575511736877,n3,norm_g0,0,n3/logs/p1_norm_g0.log,239
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s8.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s8,fedprox,FedProx,0.05,slider,-6dB,8,0.001,ConvAutoencoder,1024,0.8693929886336049,n3,norm_g6,6,n3/logs/p1_norm_g6.log,245
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s9.json,p1_fedprox_scoped_mu0p001_a0p05_slider_-6dB_s9,fedprox,FedProx,0.05,slider,-6dB,9,0.001,ConvAutoencoder,1024,0.8645907464334961,n3,norm_g3,3,n3/logs/p1_norm_g3.log,245
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_6dB_s0.json,p1_fedprox_scoped_mu0p001_a0p05_slider_6dB_s0,fedprox,FedProx,0.05,slider,6dB,0,0.001,ConvAutoencoder,1024,0.8390650358510604,n3,norm_g0,0,n3/logs/p1_norm_g0.log,241
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_6dB_s1.json,p1_fedprox_scoped_mu0p001_a0p05_slider_6dB_s1,fedprox,FedProx,0.05,slider,6dB,1,0.001,ConvAutoencoder,1024,0.9412183879188811,n3,norm_g1,1,n3/logs/p1_norm_g1.log,243
E3,p1_fedprox_scoped_mu0p001_a0p05_slider_6dB_s2.json,p1_fedprox_scoped_mu0p001_a0p05_slider_6dB_s2,fedprox,FedProx,0.05,slider,6dB,2,0.001,ConvAutoencoder,1024,0.9678926338683151,n3,norm_g2,2,n3/logs/p1_norm_g2.log,243
