algorithm,alpha,machine_type,db_level,dense_auroc,lite_auroc
clustered_fl,0.05,slider,-6dB,0.7812435967255843,0.7451149330629441
clustered_fl,0.05,slider,6dB,0.899013413300305,0.8756524185321111
clustered_fl,0.05,valve,-6dB,0.4863294336179837,0.4766349798195036
clustered_fl,0.05,valve,6dB,0.6398907712488396,0.6030524982817945
clustered_fl,100.0,slider,-6dB,0.8331263628720235,0.7957000442807676
clustered_fl,100.0,slider,6dB,0.9377910870487839,0.8942920699687773
clustered_fl,100.0,valve,-6dB,0.48798852571928075,0.45670660689684767
clustered_fl,100.0,valve,6dB,0.6353504676112447,0.5229832711554366
fedavg,0.05,slider,-6dB,0.7440060642732041,0.7350509156155618
fedavg,0.05,slider,6dB,0.8432730547331869,0.81785445246989
fedavg,0.05,valve,-6dB,0.4975007041362944,0.4790200087384506
fedavg,0.05,valve,6dB,0.6634062157156165,0.5902732256734183
fedavg,100.0,slider,-6dB,0.8334393767114463,0.7960614899235195
fedavg,100.0,slider,6dB,0.9383527162057935,0.8956345765717862
fedavg,100.0,valve,-6dB,0.4868094977188917,0.4558280939835642
fedavg,100.0,valve,6dB,0.6384842195913457,0.5226962477731065
fedprox,0.05,slider,-6dB,0.7484286600275956,0.7087436937609276
fedprox,0.05,slider,6dB,0.8431448749174095,0.8048328640888666
fedprox,0.05,valve,-6dB,0.4702123412415079,0.47232789014929977
fedprox,0.05,valve,6dB,0.5882961474817546,0.5222064255156512
fedprox,100.0,slider,-6dB,0.8125772234502627,0.7747125868325364
fedprox,100.0,slider,6dB,0.9089898347259693,0.8856832259664575
fedprox,100.0,valve,-6dB,0.4547931586286594,0.45652735139362766
fedprox,100.0,valve,6dB,0.5702818489597551,0.4654588410322859
personalized,0.05,slider,-6dB,0.7535589002285819,0.7427666201057704
personalized,0.05,slider,6dB,0.8595858620277752,0.8375903663023907
personalized,0.05,valve,-6dB,0.49856810836732923,0.4827080555542476
personalized,0.05,valve,6dB,0.6743448278991373,0.6112402505461362
personalized,100.0,slider,-6dB,0.8363426660929542,0.7993450083218826
personalized,100.0,slider,6dB,0.9411352095001019,0.8973296027304268
personalized,100.0,valve,-6dB,0.49283741749076077,0.4568421008114136
personalized,100.0,valve,6dB,0.6492059821441253,0.5296849262672839
