model_family,algorithm,alpha,machine_type,db_level,n,auroc_mean,auroc_ci95,auroc_std,auroc_min,auroc_max
LiteConvAutoencoder,clustered_fl,0.05,slider,-6dB,5,0.7451149330629441,0.011706352823499567,0.009427955421462148,0.7310614178404128,0.7556557479509067
LiteConvAutoencoder,clustered_fl,0.05,slider,6dB,5,0.8756524185321111,0.06901795053217008,0.055585046060781185,0.827702858806158,0.9645803765075632
LiteConvAutoencoder,clustered_fl,0.05,valve,-6dB,5,0.4766349798195036,0.11630029926660528,0.09366487184524094,0.3988080614651816,0.6281586504833778
LiteConvAutoencoder,clustered_fl,0.05,valve,6dB,5,0.6030524982817945,0.05324613784435107,0.04288288773885588,0.5460481390701013,0.6598959645122533
LiteConvAutoencoder,clustered_fl,100.0,slider,-6dB,5,0.7957000442807676,0.03486959275199149,0.028082953844546538,0.7479268374201568,0.8216879107050536
LiteConvAutoencoder,clustered_fl,100.0,slider,6dB,5,0.8942920699687773,0.028322024803693738,0.02280973342600361,0.8569946749940718,0.9185661847004258
LiteConvAutoencoder,clustered_fl,100.0,valve,-6dB,5,0.45670660689684767,0.006569129957576104,0.005290585832462914,0.45172510901157575,0.4647725846743471
LiteConvAutoencoder,clustered_fl,100.0,valve,6dB,5,0.5229832711554366,0.07342253156155656,0.05913236726503475,0.44571439660788525,0.5763755108618677
LiteConvAutoencoder,fedavg,0.05,slider,-6dB,5,0.7350509156155618,0.009230956837136288,0.00743434363119983,0.7240358520845858,0.7416990479493099
LiteConvAutoencoder,fedavg,0.05,slider,6dB,5,0.81785445246989,0.044113994656099956,0.035528125740874154,0.7669938892435967,0.8445831484018108
LiteConvAutoencoder,fedavg,0.05,valve,-6dB,5,0.4790200087384506,0.11478455803331852,0.09244413802717143,0.4031978151075545,0.6268554542837729
LiteConvAutoencoder,fedavg,0.05,valve,6dB,5,0.5902732256734183,0.05961618652433626,0.0480131393119065,0.5268918549205879,0.6453631878268759
LiteConvAutoencoder,fedavg,100.0,slider,-6dB,5,0.7960614899235195,0.03718632158451452,0.029948779732930586,0.745171283805645,0.8231672094403691
LiteConvAutoencoder,fedavg,100.0,slider,6dB,5,0.8956345765717862,0.0271495186311153,0.021865431123388228,0.8611746502698459,0.9212695111050653
LiteConvAutoencoder,fedavg,100.0,valve,-6dB,5,0.4558280939835642,0.006941104019849445,0.00559016290227524,0.44995020178291617,0.4645829588828353
LiteConvAutoencoder,fedavg,100.0,valve,6dB,5,0.5226962477731065,0.0706134185598851,0.056869989515711886,0.4510176163232306,0.5786584814832973
LiteConvAutoencoder,fedprox,0.05,slider,-6dB,5,0.7087436937609276,0.01731831359916938,0.013947665088319097,0.6853064535958197,0.7176853544267864
LiteConvAutoencoder,fedprox,0.05,slider,6dB,5,0.8048328640888666,0.05588199667731502,0.04500573162961624,0.7449819917903827,0.8476951307191184
LiteConvAutoencoder,fedprox,0.05,valve,-6dB,5,0.47232789014929977,0.10676318606467661,0.08598395879974283,0.3964053074397249,0.5939453143494614
LiteConvAutoencoder,fedprox,0.05,valve,6dB,5,0.5222064255156512,0.06469455234859546,0.052103107154741375,0.44234071874981923,0.5607454907226053
LiteConvAutoencoder,fedprox,100.0,slider,-6dB,5,0.7747125868325364,0.03135414604931049,0.025251715516169,0.7392235432259913,0.7976343502036598
LiteConvAutoencoder,fedprox,100.0,slider,6dB,5,0.8856832259664575,0.011730382202255054,0.00944730798285577,0.8744367322251717,0.8964325006032897
LiteConvAutoencoder,fedprox,100.0,valve,-6dB,5,0.45652735139362766,0.007039535117249493,0.005669436439675408,0.45006357873696057,0.4640268805869775
LiteConvAutoencoder,fedprox,100.0,valve,6dB,5,0.4654588410322859,0.04131953862478593,0.03327755228834869,0.42591458926605635,0.4977309594636264
LiteConvAutoencoder,personalized,0.05,slider,-6dB,5,0.7427666201057704,0.009658566683237772,0.007778728139988101,0.7340354696811398,0.7528135393072658
LiteConvAutoencoder,personalized,0.05,slider,6dB,5,0.8375903663023907,0.0339829476160984,0.027368875690411656,0.7973127618528814,0.8622457641919751
LiteConvAutoencoder,personalized,0.05,valve,-6dB,5,0.4827080555542476,0.11068538627329202,0.08914278454832651,0.40937558717655775,0.626279880634884
LiteConvAutoencoder,personalized,0.05,valve,6dB,5,0.6112402505461362,0.043978074228187135,0.035418659389180415,0.5750754390982008,0.6643031597369421
LiteConvAutoencoder,personalized,100.0,slider,-6dB,5,0.7993450083218826,0.032945362502051205,0.026533234876513368,0.7549316203073363,0.8240073582794472
LiteConvAutoencoder,personalized,100.0,slider,6dB,5,0.8973296027304268,0.025636155681781028,0.020646612705906883,0.8645005677680382,0.9216998950814308
LiteConvAutoencoder,personalized,100.0,valve,-6dB,5,0.4568421008114136,0.007344838493571946,0.0059153188819175235,0.45040128000619317,0.4662649672486932
LiteConvAutoencoder,personalized,100.0,valve,6dB,5,0.5296849262672839,0.06912248806907444,0.05566923754660633,0.45424931705810423,0.583058455265033
