model_family,algorithm,alpha,machine_type,db_level,n,auroc_mean,auroc_ci95,auroc_std,auroc_min,auroc_max
ConvAutoencoder,clustered_fl,0.05,slider,-6dB,5,0.7812435967255843,0.0494472635900771,0.03982338511997545,0.749068923653104,0.8483198590747962
ConvAutoencoder,clustered_fl,0.05,slider,6dB,5,0.899013413300305,0.05911712732784656,0.047611211578468426,0.8565040619169428,0.9780500550266948
ConvAutoencoder,clustered_fl,0.05,valve,-6dB,5,0.4863294336179837,0.10843519034078052,0.08733054231873241,0.4261323428601841,0.6391408705286792
ConvAutoencoder,clustered_fl,0.05,valve,6dB,5,0.6398907712488396,0.028961618809259678,0.0233248437992537,0.6069223542152902,0.6654585466945547
ConvAutoencoder,clustered_fl,100.0,slider,-6dB,5,0.8331263628720235,0.010448963335706678,0.00841529057041398,0.8210796936873074,0.8434857417366445
ConvAutoencoder,clustered_fl,100.0,slider,6dB,5,0.9377910870487839,0.010417075627651014,0.008389609139606779,0.9239798922241008,0.9458657390079726
ConvAutoencoder,clustered_fl,100.0,valve,-6dB,5,0.48798852571928075,0.007259248312141817,0.005846387044033887,0.4787552500548033,0.4933392585645621
ConvAutoencoder,clustered_fl,100.0,valve,6dB,5,0.6353504676112447,0.019972909070225912,0.016085598921382435,0.6128758037141218,0.6487228118249319
ConvAutoencoder,fedavg,0.05,slider,-6dB,5,0.7440060642732041,0.023966394169085796,0.019301835443208792,0.7148688109797813,0.7594382298434409
ConvAutoencoder,fedavg,0.05,slider,6dB,5,0.8432730547331869,0.05788999016903638,0.04662291107157976,0.7666958029631817,0.8789949070513295
ConvAutoencoder,fedavg,0.05,valve,-6dB,5,0.4975007041362944,0.10291595999471001,0.08288551503755587,0.4367097354732176,0.643424675336894
ConvAutoencoder,fedavg,0.05,valve,6dB,5,0.6634062157156165,0.024254046201976614,0.019533502007840563,0.6360199802066074,0.6878558857079304
ConvAutoencoder,fedavg,100.0,slider,-6dB,5,0.8334393767114463,0.012246336579156967,0.009862842602244194,0.8208839044604437,0.8479946145094199
ConvAutoencoder,fedavg,100.0,slider,6dB,5,0.9383527162057935,0.013481433817667995,0.010857553925353957,0.9264465915877468,0.9502591049718792
ConvAutoencoder,fedavg,100.0,valve,-6dB,5,0.4868094977188917,0.007499239793802677,0.006039669189612754,0.4781221200170746,0.4921450419583583
ConvAutoencoder,fedavg,100.0,valve,6dB,5,0.6384842195913457,0.023959501652403393,0.01929628441113218,0.611936761095064,0.6570882385563893
ConvAutoencoder,fedprox,0.05,slider,-6dB,5,0.7484286600275956,0.005507535005033387,0.0044356081943269475,0.743494997126022,0.7536008642532644
ConvAutoencoder,fedprox,0.05,slider,6dB,5,0.8431448749174095,0.04669997216008679,0.0376107966629012,0.7946237611944333,0.8769027368275274
ConvAutoencoder,fedprox,0.05,valve,-6dB,5,0.4702123412415079,0.09907645185708516,0.07979328707316354,0.4063651221846534,0.5981404520620472
ConvAutoencoder,fedprox,0.05,valve,6dB,5,0.5882961474817546,0.02874706607542434,0.023152049279846095,0.5626129861841627,0.6227615678829238
ConvAutoencoder,fedprox,100.0,slider,-6dB,5,0.8125772234502627,0.017871702915988576,0.014393348717400514,0.7883861905492809,0.8255691847810999
ConvAutoencoder,fedprox,100.0,slider,6dB,5,0.9089898347259693,0.009470253754288957,0.007627066394764566,0.8976559240847509,0.9190719419552842
ConvAutoencoder,fedprox,100.0,valve,-6dB,5,0.4547931586286594,0.005119693734937755,0.004123252137731366,0.4505143455724873,0.4612463092236783
ConvAutoencoder,fedprox,100.0,valve,6dB,5,0.5702818489597551,0.011336443635008494,0.009130041340820206,0.555406579818315,0.5792086423266156
ConvAutoencoder,personalized,0.05,slider,-6dB,5,0.7535589002285819,0.012880543276390008,0.010373614194358088,0.7360540355276879,0.7615950256928582
ConvAutoencoder,personalized,0.05,slider,6dB,5,0.8595858620277752,0.04453066083094556,0.035863696535749716,0.8062562403983948,0.889428396630673
ConvAutoencoder,personalized,0.05,valve,-6dB,5,0.49856810836732923,0.10381757352267461,0.0836116482984613,0.4499054490319546,0.646547411825498
ConvAutoencoder,personalized,0.05,valve,6dB,5,0.6743448278991373,0.029145144175634165,0.023472649781097407,0.6496066155854391,0.7098193173032737
ConvAutoencoder,personalized,100.0,slider,-6dB,5,0.8363426660929542,0.010642638333001435,0.008571270769223751,0.8257146744089697,0.8488055288845894
ConvAutoencoder,personalized,100.0,slider,6dB,5,0.9411352095001019,0.008811572435703848,0.007096583655844873,0.931543135745833,0.9482536081449068
ConvAutoencoder,personalized,100.0,valve,-6dB,5,0.49283741749076077,0.007031402102262352,0.005662886346414343,0.4866700632065694,0.4996477322917404
ConvAutoencoder,personalized,100.0,valve,6dB,5,0.6492059821441253,0.026318442921304145,0.021196106965634266,0.6163749581146968,0.6730856076453986
