name,machine_type,section,algorithm,alpha,seed,auroc
p1e5_clustered_fl_a0p05_toycar_sec00_s3,ToyCar,00,clustered_fl,0.05,3,0.45888573232323226
p1e5_clustered_fl_a0p05_toycar_sec01_s0,ToyCar,01,clustered_fl,0.05,0,0.7747586155674391
p1e5_clustered_fl_a0p05_toycar_sec02_s0,ToyCar,02,clustered_fl,0.05,0,0.8076515151515151
p1e5_clustered_fl_a0p05_toytrain_sec00_s0,ToyTrain,00,clustered_fl,0.05,0,0.48345864661654137
p1e5_clustered_fl_a0p05_toytrain_sec00_s9,ToyTrain,00,clustered_fl,0.05,9,0.5227504092055176
p1e5_clustered_fl_a0p05_toytrain_sec01_s6,ToyTrain,01,clustered_fl,0.05,6,0.65431869717584
p1e5_clustered_fl_a0p05_toytrain_sec02_s4,ToyTrain,02,clustered_fl,0.05,4,0.798274476127737
p1e5_clustered_fl_a100_toycar_sec00_s2,ToyCar,00,clustered_fl,100.0,2,0.706565934065934
p1e5_clustered_fl_a100_toycar_sec01_s0,ToyCar,01,clustered_fl,100.0,0,0.8029761904761903
p1e5_clustered_fl_a100_toycar_sec01_s8,ToyCar,01,clustered_fl,100.0,8,0.773452380952381
p1e5_clustered_fl_a100_toycar_sec02_s7,ToyCar,02,clustered_fl,100.0,7,0.658611111111111
p1e5_clustered_fl_a100_toytrain_sec00_s5,ToyTrain,00,clustered_fl,100.0,5,0.4612049062049062
p1e5_clustered_fl_a100_toytrain_sec01_s3,ToyTrain,01,clustered_fl,100.0,3,0.5324325396825398
p1e5_clustered_fl_a100_toytrain_sec01_s9,ToyTrain,01,clustered_fl,100.0,9,0.6342023809523809
p1e5_clustered_fl_a100_toytrain_sec02_s7,ToyTrain,02,clustered_fl,100.0,7,0.7609325396825397
p1e5_fedavg_a0p05_toycar_sec00_s6,ToyCar,00,fedavg,0.05,6,0.6357709750566893
p1e5_fedavg_a0p05_toycar_sec01_s2,ToyCar,01,fedavg,0.05,2,0.7648940345368916
p1e5_fedavg_a0p05_toycar_sec01_s9,ToyCar,01,fedavg,0.05,9,0.8130952380952381
p1e5_fedavg_a0p05_toycar_sec02_s7,ToyCar,02,fedavg,0.05,7,0.8325925925925926
p1e5_fedavg_a0p05_toytrain_sec00_s5,ToyTrain,00,fedavg,0.05,5,0.40056225520511235
p1e5_fedavg_a0p05_toytrain_sec01_s2,ToyTrain,01,fedavg,0.05,2,0.6384577922077922
p1e5_fedavg_a0p05_toytrain_sec02_s3,ToyTrain,02,fedavg,0.05,3,0.8024050349804994
p1e5_fedavg_a100_toycar_sec00_s1,ToyCar,00,fedavg,100.0,1,0.5843690476190476
p1e5_fedavg_a100_toycar_sec01_s0,ToyCar,01,fedavg,100.0,0,0.8460416666666667
p1e5_fedavg_a100_toycar_sec01_s9,ToyCar,01,fedavg,100.0,9,0.6355119047619049
p1e5_fedavg_a100_toycar_sec02_s7,ToyCar,02,fedavg,100.0,7,0.668531746031746
p1e5_fedavg_a100_toytrain_sec00_s4,ToyTrain,00,fedavg,100.0,4,0.4082936507936508
p1e5_fedavg_a100_toytrain_sec01_s3,ToyTrain,01,fedavg,100.0,3,0.5318492063492063
p1e5_fedavg_a100_toytrain_sec02_s1,ToyTrain,02,fedavg,100.0,1,0.6903194444444445
p1e5_fedavg_a100_toytrain_sec02_s9,ToyTrain,02,fedavg,100.0,9,0.7612142857142856
p1e5_fedprox_a0p05_toycar_sec00_s7,ToyCar,00,fedprox,0.05,7,0.6848766973766973
p1e5_fedprox_a0p05_toycar_sec01_s5,ToyCar,01,fedprox,0.05,5,0.879471916971917
p1e5_fedprox_a0p05_toycar_sec02_s3,ToyCar,02,fedprox,0.05,3,0.8277567191150782
p1e5_fedprox_a0p05_toycar_sec02_s8,ToyCar,02,fedprox,0.05,8,0.6708742646242647
p1e5_fedprox_a0p05_toytrain_sec00_s4,ToyTrain,00,fedprox,0.05,4,0.5276712228101117
p1e5_fedprox_a0p05_toytrain_sec01_s2,ToyTrain,01,fedprox,0.05,2,0.6112698412698413
p1e5_fedprox_a0p05_toytrain_sec02_s2,ToyTrain,02,fedprox,0.05,2,0.7264783402538504
p1e5_fedprox_a100_toycar_sec00_s0,ToyCar,00,fedprox,100.0,0,0.6773809523809524
p1e5_fedprox_a100_toycar_sec00_s8,ToyCar,00,fedprox,100.0,8,0.7554761904761905
p1e5_fedprox_a100_toycar_sec01_s6,ToyCar,01,fedprox,100.0,6,0.7333134920634922
p1e5_fedprox_a100_toycar_sec02_s5,ToyCar,02,fedprox,100.0,5,0.6830104617604618
p1e5_fedprox_a100_toytrain_sec00_s3,ToyTrain,00,fedprox,100.0,3,0.49409920634920634
p1e5_fedprox_a100_toytrain_sec01_s3,ToyTrain,01,fedprox,100.0,3,0.510281746031746
p1e5_fedprox_a100_toytrain_sec01_s8,ToyTrain,01,fedprox,100.0,8,0.6532738095238095
p1e5_fedprox_a100_toytrain_sec02_s7,ToyTrain,02,fedprox,100.0,7,0.7170039682539684
p1e5_personalized_a0p05_toycar_sec00_s6,ToyCar,00,personalized,0.05,6,0.6503401360544218
p1e5_personalized_a0p05_toycar_sec01_s5,ToyCar,01,personalized,0.05,5,0.8687881562881563
p1e5_personalized_a0p05_toycar_sec02_s1,ToyCar,02,personalized,0.05,1,0.8299145299145297
p1e5_personalized_a0p05_toytrain_sec00_s0,ToyTrain,00,personalized,0.05,0,0.4515594541910331
p1e5_personalized_a0p05_toytrain_sec00_s9,ToyTrain,00,personalized,0.05,9,0.5185435307726329
p1e5_personalized_a0p05_toytrain_sec01_s7,ToyTrain,01,personalized,0.05,7,0.6622587924058513
p1e5_personalized_a0p05_toytrain_sec02_s5,ToyTrain,02,personalized,0.05,5,0.7626873126873127
p1e5_personalized_a100_toycar_sec00_s2,ToyCar,00,personalized,100.0,2,0.6925274725274725
p1e5_personalized_a100_toycar_sec00_s9,ToyCar,00,personalized,100.0,9,0.6873214285714286
