run_id,normalization,alpha,machine_type,db_level,seed,n_round_comparisons,mean_round_to_round_ari,min_round_to_round_ari,final_round_to_round_ari,n_sites,n_clusters,largest_cluster_sites,largest_cluster_fraction
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s0,central,0.05,fan,-6dB,0,29,1.0,1.0,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s1,central,0.05,fan,-6dB,1,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s2,central,0.05,fan,-6dB,2,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s3,central,0.05,fan,-6dB,3,29,0.9603932508401724,0.2592592592592593,1.0,10,2,8,0.8
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s4,central,0.05,fan,-6dB,4,29,1.0,1.0,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a0p5_fan_m6dB_s0,central,0.5,fan,-6dB,0,29,1.0,1.0,1.0,10,2,5,0.5
p1_norm_central_clustered_fl_a0p5_fan_m6dB_s1,central,0.5,fan,-6dB,1,29,1.0,1.0,1.0,10,2,9,0.9
p1_norm_central_clustered_fl_a0p5_fan_m6dB_s2,central,0.5,fan,-6dB,2,29,0.969053934571176,0.1025641025641025,1.0,10,2,9,0.9
p1_norm_central_clustered_fl_a0p5_fan_m6dB_s3,central,0.5,fan,-6dB,3,29,0.6963174758797825,-0.08,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a0p5_fan_m6dB_s4,central,0.5,fan,-6dB,4,29,0.9861039629439012,0.5970149253731343,1.0,10,2,6,0.6
p1_norm_central_clustered_fl_a100_fan_m6dB_s0,central,100.0,fan,-6dB,0,29,0.7605894899240678,-0.0714285714285715,1.0,10,2,7,0.7
p1_norm_central_clustered_fl_a100_fan_m6dB_s1,central,100.0,fan,-6dB,1,29,0.7711695687063367,-0.111111111111111,1.0,10,2,6,0.6
