run_id,normalization,algorithm,alpha,machine_type,db_level,seed,count_normal,count_anomaly,mean_normal,mean_anomaly,median_normal,median_anomaly,std_normal,std_anomaly,mean_error_delta,median_error_delta,cohen_d_error_separation,mean_error_ratio
p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,central,clustered_fl,0.05,fan,0dB,0,813,1475,0.49525326783660006,0.5262139307644408,0.4762531816959381,0.5009742975234985,0.0796980711893948,0.10305926019907406,0.03096066292784072,0.024721115827560425,0.3360825970202475,1.062514807954898
p1_norm_central_clustered_fl_a0p05_fan_0dB_s1,central,clustered_fl,0.05,fan,0dB,1,813,1475,0.4919997832725262,0.5463603814779702,0.4806597828865051,0.5221935510635376,0.07375260995100433,0.11004840224211195,0.05436059820544398,0.04153376817703247,0.5803091899887182,1.1104890694135383
p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,central,clustered_fl,0.05,fan,0dB,2,813,1475,0.535199776346833,0.6177338983850964,0.4952001273632049,0.5583767294883728,0.1234391661519709,0.19319370025931465,0.08253412203826338,0.0631766021251679,0.509115811859642,1.1542118021827752
p1_norm_central_clustered_fl_a0p05_fan_0dB_s3,central,clustered_fl,0.05,fan,0dB,3,812,1475,0.4538890892648932,0.5141685511500148,0.4261838793754577,0.4885361790657043,0.08153296596401732,0.09512253831789802,0.06027946188512162,0.06235229969024658,0.6804417469559434,1.132806589342671
p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,central,clustered_fl,0.05,fan,0dB,4,815,1475,0.48358159599128675,0.5465977538036088,0.464900940656662,0.5106682181358337,0.07750453747746378,0.12760252858885304,0.063016157812322,0.04576727747917175,0.5969227511140529,1.1303113235381634
p1_norm_central_clustered_fl_a0p05_fan_6dB_s0,central,clustered_fl,0.05,fan,6dB,0,813,1475,0.45625877794597713,0.5446678453380779,0.4296184480190277,0.5124629735946655,0.08984372254054063,0.1366221754818684,0.08840906739210075,0.08284452557563782,0.764629941582841,1.1937695703962297
p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,central,clustered_fl,0.05,fan,6dB,1,813,1475,0.4509901998594385,0.5781892365116184,0.4216795861721039,0.5296735167503357,0.10289836505347315,0.1604635593237443,0.12719903665217985,0.10799393057823181,0.9436838271897477,1.2820439040400975
p1_norm_central_clustered_fl_a0p05_fan_6dB_s2,central,clustered_fl,0.05,fan,6dB,2,813,1475,0.4325114199009622,0.6489156251438594,0.433378130197525,0.582449734210968,0.05644558615551268,0.2377769299839674,0.21640420524289716,0.149071604013443,1.2522941442944469,1.500343332651078
p1_norm_central_clustered_fl_a0p05_fan_6dB_s3,central,clustered_fl,0.05,fan,6dB,3,812,1475,0.39858136395809096,0.5281850887153108,0.388030543923378,0.4766696095466614,0.051640428658323856,0.14953390340633987,0.12960372475721982,0.08863906562328339,1.1585826603167917,1.3251625301047618
p1_norm_central_clustered_fl_a0p05_fan_6dB_s4,central,clustered_fl,0.05,fan,6dB,4,815,1475,0.44913261492559514,0.5870656847145598,0.4049044549465179,0.5305725932121277,0.11050977381540354,0.17397309490684174,0.13793306978896464,0.1256681382656098,0.9464463763081133,1.3071098940606107
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s0,central,clustered_fl,0.05,fan,-6dB,0,813,1475,0.4696078717268701,0.48217410107790415,0.4495041072368622,0.4611964821815491,0.07832387435857727,0.08128598631823122,0.012566229351034075,0.01169237494468689,0.1574347079866731,1.0267589836278186
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s1,central,clustered_fl,0.05,fan,-6dB,1,813,1475,0.4700145343133004,0.49585367732128854,0.4497041404247284,0.4719368517398834,0.07620921197857948,0.08798177084817538,0.02583914300798812,0.02223271131515503,0.31393903282546776,1.0549751999600174
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s2,central,clustered_fl,0.05,fan,-6dB,2,813,1475,0.4997081479096618,0.5085143710395037,0.4721188545227051,0.4813631474971771,0.09874091872248612,0.09770564184901072,0.008806223129841917,0.009244292974472046,0.08965390708563976,1.017622732722449
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s3,central,clustered_fl,0.05,fan,-6dB,3,812,1475,0.45974240716308207,0.48132145538168436,0.4388206452131271,0.4590353071689605,0.07591857804681142,0.08655166309591537,0.021579048218602292,0.020214661955833435,0.26506986183521675,1.046937258522135
p1_norm_central_clustered_fl_a0p05_fan_m6dB_s4,central,clustered_fl,0.05,fan,-6dB,4,815,1475,0.4762305079793637,0.5006102710255121,0.4548073709011078,0.4739697873592376,0.07642681594416856,0.09753296946247832,0.024379763046148417,0.019162416458129827,0.27825143371844757,1.0511931987507295
p1_norm_central_clustered_fl_a0p05_slider_0dB_s0,central,clustered_fl,0.05,slider,0dB,0,638,890,0.4199045740511724,0.9511049691210972,0.4042707532644272,0.8824568390846252,0.07323570610876334,0.45148595563964977,0.5312003950699249,0.47818608582019806,1.6424395524515956,2.2650502706960016
p1_norm_central_clustered_fl_a0p05_slider_0dB_s1,central,clustered_fl,0.05,slider,0dB,1,638,890,0.44794312427783833,0.986876176247436,0.42345865070819855,0.8892000317573547,0.09803339125263326,0.4369239183947803,0.5389330519695976,0.4657413810491562,1.7020741992924833,2.2031283052696717
p1_norm_central_clustered_fl_a0p05_slider_0dB_s2,central,clustered_fl,0.05,slider,0dB,2,638,890,0.4309830979960839,0.9690164230177911,0.4124295115470886,0.9310311377048492,0.09003912869768285,0.36410610294766027,0.5380333250217072,0.5186016261577606,2.028651903102893,2.2483861374688896
p1_norm_central_clustered_fl_a0p05_slider_0dB_s3,central,clustered_fl,0.05,slider,0dB,3,639,890,0.4552853218453218,1.014864837487092,0.4209259450435638,0.9640397429466248,0.11198509149806393,0.3611632708295739,0.5595795156417703,0.5431137979030609,2.092858248893972,2.2290743601698657
p1_norm_central_clustered_fl_a0p05_slider_0dB_s4,central,clustered_fl,0.05,slider,0dB,4,638,890,0.4460730060794884,0.9435049308150002,0.43024675548076624,0.8697014451026917,0.08835504770452582,0.4244385924395787,0.4974319247355118,0.4394546896219254,1.622639406669087,2.1151356794875666
p1_norm_central_clustered_fl_a0p05_slider_6dB_s0,central,clustered_fl,0.05,slider,6dB,0,638,890,0.401194617572623,1.1896232281173214,0.38931749761104584,1.1007123589515686,0.05937172250371144,0.685072729856754,0.7884286105446984,0.7113948613405228,1.6214958407824194,2.965202363169739
