schema_version,run_id,paper_id,experiment_id,seed,round,site_id,machine_id,normalization,model_family,n_normal,n_anomaly,auroc,auprc,partial_auroc_fpr_0_1,f1_at_threshold,threshold,host,bundle_dir,algorithm,alpha,machine_type,db_level
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,0,id_02;id_06,central,ConvAutoencoder,79,202,0.885887955884196,0.9250203874920606,0.2807995989472365,0.4274809160305343,0.5117517709732056,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,1,id_06,central,ConvAutoencoder,6,65,0.9846153846153848,0.9985892042626884,0.9384615384615386,0.96875,0.4371740818023681,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,2,id_02,central,ConvAutoencoder,182,111,0.5040590040590041,0.3811389304252536,0.0533610533610533,0.109375,0.6078200936317444,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,3,id_04;id_06,central,ConvAutoencoder,10,137,0.8240875912408759,0.9847516510322484,0.5401459854014599,0.7102803738317757,0.4607380926609039,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,5,id_04,central,ConvAutoencoder,1,79,0.2025316455696202,0.9803912845441692,0.2025316455696202,0.3368421052631579,0.605433464050293,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,6,id_00;id_04,central,ConvAutoencoder,170,172,0.8211012311901504,0.8077429623943158,0.3125854993160055,0.5691699604743083,0.5360561013221741,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,7,id_00;id_06,central,ConvAutoencoder,280,163,0.8569456617002629,0.7817845597923037,0.4149868536371604,0.5896414342629482,0.6299344897270203,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,8,id_00;id_04,central,ConvAutoencoder,53,172,0.7969504168494954,0.8787600699206628,0.0583589293549802,0.0769230769230769,0.750993549823761,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,0,30,9,id_00;id_02;id_04;id_06,central,ConvAutoencoder,32,374,0.0472927807486631,0.7965832012341276,0.0020053475935828,0.0053050397877984,0.8762710094451904,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,0,id_02;id_06,central,ConvAutoencoder,125,126,0.7332063492063492,0.6743731715797057,0.0838095238095238,0.1655172413793103,0.5948715209960938,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,1,id_04;id_06,central,ConvAutoencoder,9,122,0.7805100182149363,0.9797327586773572,0.4590163934426229,0.6774193548387096,0.4856404960155487,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,2,id_04,central,ConvAutoencoder,191,78,0.6657269432138542,0.4677943324453225,0.1539132769499261,0.2222222222222222,0.5737839937210083,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,3,id_02,central,ConvAutoencoder,1,72,0.375,0.9866896448259932,0.375,0.5454545454545454,0.5716921091079712,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,4,id_02;id_04;id_06,central,ConvAutoencoder,31,197,0.8909448174226298,0.9801834139364096,0.5395447846733258,0.7523510971786834,0.4692531824111938,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,5,id_04;id_06,central,ConvAutoencoder,103,149,0.7927282204991204,0.7917810437979578,0.1576203818335831,0.351063829787234,0.5482804179191589,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,6,id_02,central,ConvAutoencoder,133,76,0.2083498219232291,0.2368253294885948,0.0055401662049861,0.0,0.6998991370201111,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,7,id_00,central,ConvAutoencoder,202,181,0.6351950112138286,0.5951764016710401,0.0999398282369673,0.1714285714285714,0.9182089567184448,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,8,id_06,central,ConvAutoencoder,1,67,1.0,1.0,1.0,1.0,0.4161398112773895,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,2,30,9,id_00;id_02;id_04;id_06,central,ConvAutoencoder,17,407,0.9407428819193524,0.9972358337085272,0.7371007371007371,0.847457627118644,0.5774818062782288,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s2,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,0,id_02,central,ConvAutoencoder,79,104,0.7016796494644596,0.6991174380719927,0.0918938656280428,0.1694915254237288,0.5346886515617371,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,1,id_00;id_04;id_06,central,ConvAutoencoder,155,303,0.8798679867986798,0.9209349306568148,0.3802831896092835,0.5635103926096998,0.5379573702812195,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,2,id_06,central,ConvAutoencoder,2,90,0.6388888888888888,0.988912480761991,0.4222222222222222,0.6106870229007634,0.5555412173271179,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,3,id_00,central,ConvAutoencoder,48,72,0.6973379629629629,0.7907303075455513,0.2407407407407408,0.3870967741935484,0.7807509899139404,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,4,id_02;id_06,central,ConvAutoencoder,144,177,0.600086315128688,0.6652821014619041,0.138104205900816,0.2296650717703349,0.5566964149475098,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,5,id_00,central,ConvAutoencoder,1,76,0.5394736842105263,0.9920240922757918,0.5394736842105263,0.7008547008547008,0.6676530838012695,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,6,id_02,central,ConvAutoencoder,1,86,0.4186046511627907,0.990057673679388,0.4186046511627907,0.5901639344262295,0.5023930072784424,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,7,id_00,central,ConvAutoencoder,143,86,0.8219222637827289,0.7308658126447996,0.306960481379086,0.4462809917355372,0.6952822208404541,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,8,id_02;id_04;id_06,central,ConvAutoencoder,241,277,0.8057432179396917,0.7910289123007737,0.2211004089458783,0.3899721448467966,0.5323211550712585,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,P1,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,4,30,9,id_00;id_04,central,ConvAutoencoder,1,204,0.0098039215686274,0.9792472696351404,0.0098039215686274,0.0194174757281553,0.8053412437438965,master,p1_norm_central_clustered_fl_a0p05_fan_0dB_s4,clustered_fl,0.05,fan,0dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,P1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,1,30,0,id_04,central,ConvAutoencoder,178,75,0.8645692883895131,0.71081284244781,0.3042696629213483,0.4299065420560747,0.52721107006073,master,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,clustered_fl,0.05,fan,6dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,P1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,1,30,1,id_04;id_06,central,ConvAutoencoder,1,129,1.0,1.0,1.0,1.0,0.3699101209640503,master,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,clustered_fl,0.05,fan,6dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,P1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,1,30,2,id_02;id_04,central,ConvAutoencoder,26,261,0.9986737400530504,0.9998660724025265,0.986737400530504,0.9961832061068704,0.4287825226783752,master,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,clustered_fl,0.05,fan,6dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,P1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,1,30,3,id_06,central,ConvAutoencoder,1,58,1.0,1.0,1.0,1.0,0.3615664541721344,master,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,clustered_fl,0.05,fan,6dB
p1-evidence-logging-v1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,P1,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,1,30,4,id_00;id_04;id_06,central,ConvAutoencoder,105,211,0.3086436470322726,0.6227559973666532,0.0918528548860302,0.1687763713080168,0.8138784170150757,master,p1_norm_central_clustered_fl_a0p05_fan_6dB_s1,clustered_fl,0.05,fan,6dB
