host,worker,gpu,done_file,name,normalization_mode,algorithm,alpha,machine_type,db_level,seed,auroc,log_file,log_line
master,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p05_fan_0dB_s0.json,p1_norm_central_clustered_fl_a0p05_fan_0dB_s0,central,clustered_fl,0.05,fan,0dB,0,0.7407899881966308,master/p1/logs/p1_norm_g0.log,2
n3,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p05_fan_0dB_s1.json,p1_norm_central_clustered_fl_a0p05_fan_0dB_s1,central,clustered_fl,0.05,fan,0dB,1,0.8026213938580058,n3/p1/logs/p1_norm_g0.log,2
n3,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p05_slider_0dB_s4.json,p1_norm_central_clustered_fl_a0p05_slider_0dB_s4,central,clustered_fl,0.05,slider,0dB,4,0.8545196787421455,n3/p1/logs/p1_norm_g0.log,4
master,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p05_slider_6dB_s4.json,p1_norm_central_clustered_fl_a0p05_slider_6dB_s4,central,clustered_fl,0.05,slider,6dB,4,0.8935110228942813,master/p1/logs/p1_norm_g0.log,4
n3,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p05_valve_6dB_s2.json,p1_norm_central_clustered_fl_a0p05_valve_6dB_s2,central,clustered_fl,0.05,valve,6dB,2,0.6177673698862551,n3/p1/logs/p1_norm_g0.log,6
master,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p05_valve_6dB_s3.json,p1_norm_central_clustered_fl_a0p05_valve_6dB_s3,central,clustered_fl,0.05,valve,6dB,3,0.6636424656695804,master/p1/logs/p1_norm_g0.log,6
n3,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p5_fan_6dB_s1.json,p1_norm_central_clustered_fl_a0p5_fan_6dB_s1,central,clustered_fl,0.5,fan,6dB,1,0.9482392582939857,n3/p1/logs/p1_norm_g0.log,8
master,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p5_fan_6dB_s4.json,p1_norm_central_clustered_fl_a0p5_fan_6dB_s4,central,clustered_fl,0.5,fan,6dB,4,0.9647987899692669,master/p1/logs/p1_norm_g0.log,8
n3,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p5_slider_m6dB_s0.json,p1_norm_central_clustered_fl_a0p5_slider_m6dB_s0,central,clustered_fl,0.5,slider,-6dB,0,0.8324788311604314,n3/p1/logs/p1_norm_g0.log,10
master,norm_g0,0,norm_g0_p1_norm_central_clustered_fl_a0p5_slider_m6dB_s3.json,p1_norm_central_clustered_fl_a0p5_slider_m6dB_s3,central,clustered_fl,0.5,slider,-6dB,3,0.8497466781626594,master/p1/logs/p1_norm_g0.log,10
