node,worker,algorithm,alpha,machine_type,db_level,seed,auroc
n3,g4,clustered_fl,a0p05,fan,-6dB,0,0.5699601242982656
master,g2,clustered_fl,a0p05,fan,-6dB,1,0.7021406041388908
n3,g0,clustered_fl,a0p05,fan,-6dB,2,0.6226707966489963
master,g7,clustered_fl,a0p05,fan,-6dB,3,0.6501043766638288
n1,g6,clustered_fl,a0p05,fan,-6dB,4,0.6044339056259345
n3,g5,clustered_fl,a0p05,fan,-6dB,5,0.7379378739883458
master,g4,clustered_fl,a0p05,fan,-6dB,6,0.6645758778135615
n3,g3,clustered_fl,a0p05,fan,-6dB,7,0.5871836767843885
master,g3,clustered_fl,a0p05,fan,-6dB,8,0.5699083363798799
n1,g4,clustered_fl,a0p05,fan,-6dB,9,0.5965900973751455
n3,g2,clustered_fl,a0p05,fan,-6dB,10,0.5006108347184669
master,g0,clustered_fl,a0p05,fan,-6dB,11,0.5402552592430514
n3,g7,clustered_fl,a0p05,fan,-6dB,12,0.6423939038381169
master,g1,clustered_fl,a0p05,fan,-6dB,13,0.6126431710679874
n1,g5,clustered_fl,a0p05,fan,-6dB,14,0.6365839222460572
n3,g1,clustered_fl,a0p05,fan,-6dB,15,0.6135793243747948
master,g6,clustered_fl,a0p05,fan,-6dB,16,0.647457277523377
n3,g6,clustered_fl,a0p05,fan,-6dB,17,0.6252556754276333
master,g5,clustered_fl,a0p05,fan,-6dB,18,0.5869424529384104
n1,g7,clustered_fl,a0p05,fan,-6dB,19,0.6203337765067657
master,g1,clustered_fl,a0p05,fan,0dB,0,0.7481055631612862
n1,g6,clustered_fl,a0p05,fan,0dB,1,0.8041099771445669
n3,g2,clustered_fl,a0p05,fan,0dB,2,0.8672150935771643
master,g5,clustered_fl,a0p05,fan,0dB,3,0.7761529411268719
n3,g1,clustered_fl,a0p05,fan,0dB,4,0.7864586846433484
master,g7,clustered_fl,a0p05,fan,0dB,5,0.7602057195668616
n1,g7,clustered_fl,a0p05,fan,0dB,6,0.7771606545801151
n3,g4,clustered_fl,a0p05,fan,0dB,7,0.8009361340418075
master,g2,clustered_fl,a0p05,fan,0dB,8,0.7921385068254281
n3,g0,clustered_fl,a0p05,fan,0dB,9,0.7206888608208459
master,g3,clustered_fl,a0p05,fan,0dB,10,0.8171970465062545
n1,g4,clustered_fl,a0p05,fan,0dB,11,0.7077701594517326
n3,g7,clustered_fl,a0p05,fan,0dB,12,0.7752414262780669
